candidate,short_candidate,rule_id,coordinate,threshold,stratifier,stratum,stratum_order,contract,images,valid_gt,scored_gt,tp,fp,fn,neutralized,f1,false_positives_per_image,false_negatives_per_100_scored_vehicles,confirmed_vehicles_per_100_scored_alerts
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,A,170,5540,5540,4962,1004,578,0,0.8625065183382583,5.905882352941177,10.433212996389893,83.17130405631914
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,F,170,5540,5402,4888,1078,514,0,0.8599577762139339,6.341176470588235,9.514994446501296,81.93094200469326
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,R,170,5540,5402,4888,1008,514,70,0.8652858913081961,5.929411764705883,9.514994446501296,82.90366350067842
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,S,170,5540,5402,4888,822,514,256,0.8797696184305256,4.8352941176470585,9.514994446501296,85.60420315236428
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,high,2,A,172,7275,7275,5923,1262,1352,0,0.8192254495159059,7.337209302325581,18.584192439862544,82.43562978427279
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,high,2,F,172,7275,6563,5627,1558,936,0,0.8185917951702065,9.05813953488372,14.261770531769008,78.31593597773139
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,high,2,R,172,7275,6563,5627,1254,936,304,0.8371020529604284,7.290697674418604,14.261770531769008,81.77590466501962
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,high,2,S,172,7275,6563,5627,1092,936,466,0.8473121517843698,6.348837209302325,14.261770531769008,83.74758148534008
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,low,0,A,181,4259,4259,3806,647,453,0,0.8737373737373737,3.574585635359116,10.63629960084527,85.47046934650797
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,low,0,F,181,4259,3916,3621,832,295,0,0.865336360377584,4.596685082872928,7.5331971399387125,81.31596676397935
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,low,0,R,181,4259,3916,3621,654,295,178,0.8841411305090954,3.613259668508287,7.5331971399387125,84.70175438596492
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,low,0,S,181,4259,3916,3621,529,295,303,0.8978427969253657,2.9226519337016574,7.5331971399387125,87.25301204819277
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,middle,1,A,166,5506,5506,4567,963,939,0,0.8276549474447263,5.801204819277109,17.054122775154376,82.58589511754069
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,middle,1,F,166,5506,4818,4279,1251,539,0,0.8270197139543873,7.536144578313253,11.187214611872147,77.37793851717902
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,middle,1,R,166,5506,4818,4279,961,539,290,0.8508649830980314,5.789156626506024,11.187214611872147,81.66030534351145
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,occlusion,middle,1,S,166,5506,4818,4279,744,539,507,0.8696270704196728,4.481927710843373,11.187214611872147,85.18813458092774
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,large,2,A,168,3689,3689,3431,603,258,0,0.888514825844879,3.5892857142857144,6.9937652480346975,85.05205751115518
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,large,2,F,168,3689,3680,3424,610,256,0,0.8877365828364013,3.630952380952381,6.956521739130435,84.87853247397125
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,large,2,R,168,3689,3680,3424,602,256,8,0.8886581884246042,3.5833333333333335,6.956521739130435,85.04719324391455
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,large,2,S,168,3689,3680,3424,527,256,83,0.8973922159612109,3.136904761904762,6.956521739130435,86.66160465704885
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,medium,1,A,173,5926,5926,5229,1096,697,0,0.8536446004407804,6.335260115606936,11.76172797840027,82.67193675889328
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,medium,1,F,173,5926,5746,5137,1188,609,0,0.8511308093778477,6.867052023121388,10.598677340758789,81.21739130434783
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,medium,1,R,173,5926,5746,5137,1095,609,93,0.8577391885122725,6.329479768786127,10.598677340758789,82.42939666238767
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,medium,1,S,173,5926,5746,5137,893,609,295,0.872452445652174,5.161849710982659,10.598677340758789,85.19071310116087
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,small,0,A,178,7425,7425,5636,1173,1789,0,0.7919067022621892,6.589887640449438,24.094276094276093,82.77280070494933
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,small,0,F,178,7425,5871,4966,1843,905,0,0.7832807570977918,10.353932584269662,15.41475046840402,72.93288294903803
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,small,0,R,178,7425,5871,4966,1172,905,671,0.8270463818802565,6.584269662921348,15.41475046840402,80.90583251873575
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,target_size,small,0,S,178,7425,5871,4966,945,905,898,0.84298081819725,5.308988764044944,15.41475046840402,84.0128573845373
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,dense,2,A,181,10478,10478,8690,2659,1788,0,0.7962615109726485,14.69060773480663,17.064325252910862,76.57062296237554
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,dense,2,F,181,10478,7183,6354,4995,829,0,0.6857327865314051,27.596685082872927,11.541138799944314,55.98731165741475
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,dense,2,R,181,10478,7183,6354,2420,829,2575,0.79639029892837,13.370165745856353,11.541138799944314,72.41850923182129
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,dense,2,S,181,10478,7183,6354,1906,829,3089,0.8228971054846856,10.530386740331492,11.541138799944314,76.92493946731234
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,moderate,1,A,180,4959,4959,4165,1218,794,0,0.8054534906207697,6.766666666666667,16.011292599314377,77.37321196358907
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,moderate,1,F,180,4959,3991,3446,1937,545,0,0.7352250906763388,10.761111111111111,13.655725382109747,64.0163477614713
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,moderate,1,R,180,4959,3991,3446,1172,545,765,0.8005575560459983,6.511111111111111,13.655725382109747,74.62104807275877
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,moderate,1,S,180,4959,3991,3446,852,545,1085,0.8314633852093135,4.733333333333333,13.655725382109747,80.17682643089809
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,sparse,0,A,187,1603,1603,1305,475,298,0,0.7715045817321904,2.5401069518716577,18.590143480973175,73.31460674157303
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,sparse,0,F,187,1603,1322,1109,671,213,0,0.7150225660863959,3.588235294117647,16.11195158850227,62.30337078651685
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,sparse,0,R,187,1603,1322,1109,456,213,215,0.7682715621752685,2.4385026737967914,16.11195158850227,70.8626198083067
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,density,sparse,0,S,187,1603,1322,1109,353,213,318,0.7966954022988506,1.8877005347593583,16.11195158850227,75.85499316005472
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,A,170,8657,8657,6876,2264,1781,0,0.7727145024442321,13.31764705882353,20.572946748296175,75.22975929978118
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,F,170,8657,5100,4390,4750,710,0,0.6165730337078652,27.941176470588236,13.92156862745098,48.030634573304155
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,R,170,8657,5100,4390,2025,710,2725,0.7624837168910117,11.911764705882353,13.92156862745098,68.43335931410756
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,S,170,8657,5100,4390,1500,710,3250,0.7989080982711556,8.823529411764707,13.92156862745098,74.53310696095076
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,A,170,2834,2834,2520,623,314,0,0.8432323908315208,3.664705882352941,11.079745942131263,80.17817371937639
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,F,170,2834,2665,2401,742,264,0,0.8267906336088154,4.364705882352941,9.906191369606004,76.39198218262806
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,R,170,2834,2665,2401,614,264,128,0.8454225352112676,3.611764705882353,9.906191369606004,79.63515754560531
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,S,170,2834,2665,2401,489,264,253,0.8644464446444644,2.876470588235294,9.906191369606004,83.0795847750865
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,A,170,5540,5540,4759,1452,781,0,0.8099736192664454,8.541176470588235,14.097472924187725,76.6221220415392
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,F,170,5540,4723,4114,2097,609,0,0.7525150905432596,12.33529411764706,12.894346813466017,66.23732088230558
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,R,170,5540,4723,4114,1396,609,701,0.8040652789993159,8.211764705882352,12.894346813466017,74.66424682395645
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,S,170,5540,4723,4114,1109,609,988,0.8272672431128092,6.523529411764706,12.894346813466017,78.76699215010531
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,high,2,A,172,7275,7275,5928,2014,1347,0,0.7791286061641585,11.709302325581396,18.515463917525775,74.64114832535886
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,high,2,F,172,7275,5301,4534,3408,767,0,0.684739107452994,19.813953488372093,14.468968119222788,57.08889448501637
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,high,2,R,172,7275,5301,4534,1852,767,1556,0.7759048515444511,10.767441860465116,14.468968119222788,70.99906044472283
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,high,2,S,172,7275,5301,4534,1460,767,1948,0.8028331119964586,8.488372093023257,14.468968119222788,75.64230897564231
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,low,0,A,181,4259,4259,3730,908,529,0,0.838484882544678,5.016574585635359,12.420756046020193,80.42259594652867
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,low,0,F,181,4259,3286,2984,1654,302,0,0.7531549722362443,9.138121546961326,9.190505173463178,64.33807675722294
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,low,0,R,181,4259,3286,2984,867,302,787,0.836205688664705,4.790055248618785,9.190505173463178,77.48636717735653
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,low,0,S,181,4259,3286,2984,700,302,954,0.8562410329985652,3.867403314917127,9.190505173463178,80.99891422366993
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,middle,1,A,166,5506,5506,4502,1424,1004,0,0.7876137158852344,8.578313253012048,18.23465310570287,75.97030037124536
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,middle,1,F,166,5506,3909,3391,2535,518,0,0.6895780376207422,15.271084337349398,13.251470964441033,57.2224097198785
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,middle,1,R,166,5506,3909,3391,1323,518,1212,0.7865012176736634,7.969879518072289,13.251470964441033,71.93466270683072
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,occlusion,middle,1,S,166,5506,3909,3391,945,518,1590,0.8225591267434809,5.692771084337349,13.251470964441033,78.20571955719558
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,target_size,large,2,A,168,3689,3689,3295,876,394,0,0.8384223918575063,5.214285714285714,10.68040119273516,78.99784224406618
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,target_size,large,2,F,168,3689,3618,3243,928,375,0,0.832712800102709,5.523809523809524,10.364842454394694,77.75113881563175
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,target_size,large,2,R,168,3689,3618,3243,876,375,52,0.8383094222566886,5.214285714285714,10.364842454394694,78.73270211216315
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,target_size,large,2,S,168,3689,3618,3243,788,375,140,0.8479539809125376,4.690476190476191,10.364842454394694,80.4515008682709
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,target_size,medium,1,A,173,5926,5926,5116,1572,810,0,0.8111622007293483,9.086705202312139,13.668579142760715,76.49521531100478
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,target_size,medium,1,F,173,5926,5037,4425,2263,612,0,0.7547974413646056,13.080924855491329,12.150089338892197,66.16327751196172
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,target_size,medium,1,R,173,5926,5037,4425,1504,612,759,0.8070399416377896,8.693641618497109,12.150089338892197,74.63315904874347
