confidence,scale_threshold_px,band,source,candidate,domain,scale_threshold_norm
0.1,,0.11162662992063171,uavdt,uavdt_tiling,normalized,0.015
0.1,,0.3033208760140985,uavdt,uavdt_tiling,normalized,0.02
0.1,,0.34273005612296104,uavdt,uavdt_tiling,normalized,0.03
0.15,,1.5388475702593496e-05,uavdt,uavdt_tiling,normalized,0.005
0.15,,7.427128452419662e-05,uavdt,uavdt_tiling,normalized,0.0075
0.15,,0.0022512516377029,uavdt,uavdt_tiling,normalized,0.01
0.15,,0.1203733587733668,uavdt,uavdt_tiling,normalized,0.015
0.15,,0.3362706095813175,uavdt,uavdt_tiling,normalized,0.02
0.15,,0.37978802825286107,uavdt,uavdt_tiling,normalized,0.03
0.2,,1.8133823188937193e-05,uavdt,uavdt_tiling,normalized,0.005
0.2,,6.7783797116360844e-06,uavdt,uavdt_tiling,normalized,0.0075
0.2,,0.0019213653752030435,uavdt,uavdt_tiling,normalized,0.01
0.2,,0.12551715189143753,uavdt,uavdt_tiling,normalized,0.015
0.2,,0.36126346939361853,uavdt,uavdt_tiling,normalized,0.02
0.2,,0.4081328994426363,uavdt,uavdt_tiling,normalized,0.03
0.25,,2.0724196598487232e-05,uavdt,uavdt_tiling,normalized,0.005
0.25,,2.2469213591835846e-05,uavdt,uavdt_tiling,normalized,0.0075
0.25,,0.001823328073329189,uavdt,uavdt_tiling,normalized,0.01
0.25,,0.12988860848406997,uavdt,uavdt_tiling,normalized,0.015
0.25,,0.3850827567058429,uavdt,uavdt_tiling,normalized,0.02
0.25,,0.43411034134766635,uavdt,uavdt_tiling,normalized,0.03
0.3,,2.3190257331773267e-05,uavdt,uavdt_tiling,normalized,0.005
0.3,,3.5411456901002225e-05,uavdt,uavdt_tiling,normalized,0.0075
0.3,,0.0013036872983698267,uavdt,uavdt_tiling,normalized,0.01
0.3,,0.13300578654811956,uavdt,uavdt_tiling,normalized,0.015
0.3,,0.406737116174093,uavdt,uavdt_tiling,normalized,0.02
0.3,,0.4561724352638782,uavdt,uavdt_tiling,normalized,0.03
0.35,,2.5418723446524183e-05,uavdt,uavdt_tiling,normalized,0.005
0.35,,4.37529460241004e-05,uavdt,uavdt_tiling,normalized,0.0075
0.35,,0.0010025286048941373,uavdt,uavdt_tiling,normalized,0.01
0.35,,0.1358916912821878,uavdt,uavdt_tiling,normalized,0.015
0.35,,0.42887958679283195,uavdt,uavdt_tiling,normalized,0.02
0.35,,0.47564644345133433,uavdt,uavdt_tiling,normalized,0.03
0.4,,2.7420256014654143e-05,uavdt,uavdt_tiling,normalized,0.005
0.4,,0.00014510175944371095,uavdt,uavdt_tiling,normalized,0.0075
0.4,,0.00049183883163606,uavdt,uavdt_tiling,normalized,0.01
