source,candidate,scale_mode,scale_threshold,small_object_policy,confidence,iou,matching,tp,fp,fn,neutralized_predictions,f1,images
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.3,0.25,greedy_valid_gt_first_coco_crowd,11029,4511,1467,379,0.7867741475246112,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.3,0.5,greedy_valid_gt_first_coco_crowd,10899,4640,1597,380,0.7775280898876404,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.35,0.25,greedy_valid_gt_first_coco_crowd,10742,3812,1754,283,0.7942329020332717,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.35,0.5,greedy_valid_gt_first_coco_crowd,10649,3905,1847,283,0.7873567467652496,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.4,0.25,greedy_valid_gt_first_coco_crowd,10436,3161,2060,216,0.7999080213083969,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.4,0.5,greedy_valid_gt_first_coco_crowd,10360,3237,2136,216,0.7940827041735331,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.5,0.25,greedy_valid_gt_first_coco_crowd,9704,2215,2792,131,0.7949211550276469,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.5,0.5,greedy_valid_gt_first_coco_crowd,9672,2247,2824,131,0.7922998156870776,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.1,0.25,greedy_valid_gt_first_coco_crowd,15606,9065,1434,0,0.7482918175061735,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.1,0.5,greedy_valid_gt_first_coco_crowd,15080,9591,1960,0,0.7230706528253937,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.15,0.25,greedy_valid_gt_first_coco_crowd,15140,5912,1900,0,0.7949175679932794,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.15,0.5,greedy_valid_gt_first_coco_crowd,14717,6335,2323,0,0.7727081801953166,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.2,0.25,greedy_valid_gt_first_coco_crowd,14712,4067,2328,0,0.8214634691085737,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.2,0.5,greedy_valid_gt_first_coco_crowd,14339,4440,2701,0,0.8006365336832407,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.25,0.25,greedy_valid_gt_first_coco_crowd,14296,2877,2744,0,0.8357057258936661,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.25,0.5,greedy_valid_gt_first_coco_crowd,14004,3169,3036,0,0.8186361909215795,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.3,0.25,greedy_valid_gt_first_coco_crowd,13850,2069,3190,0,0.840438120088595,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.3,0.5,greedy_valid_gt_first_coco_crowd,13617,2302,3423,0,0.8262993416062381,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.35,0.25,greedy_valid_gt_first_coco_crowd,13360,1477,3680,0,0.8382219154876557,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.35,0.5,greedy_valid_gt_first_coco_crowd,13199,1638,3841,0,0.8281205885120934,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.4,0.25,greedy_valid_gt_first_coco_crowd,12798,1015,4242,0,0.8296113830097559,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.4,0.5,greedy_valid_gt_first_coco_crowd,12672,1141,4368,0,0.8214436197452436,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.5,0.25,greedy_valid_gt_first_coco_crowd,11579,471,5461,0,0.7960811275352355,548
visdrone,visdrone_control_asd1280,absolute,24.0,include_all,0.5,0.5,greedy_valid_gt_first_coco_crowd,11533,517,5507,0,0.792918528704022,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.1,0.25,greedy_valid_gt_first_coco_crowd,10973,13698,524,0,0.6067794735677947,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.1,0.5,greedy_valid_gt_first_coco_crowd,10768,13903,729,0,0.5954434859544349,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.15,0.25,greedy_valid_gt_first_coco_crowd,10789,10263,708,0,0.6629389535776828,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.15,0.5,greedy_valid_gt_first_coco_crowd,10609,10443,888,0,0.6518787059510277,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.2,0.25,greedy_valid_gt_first_coco_crowd,10611,8168,886,0,0.7009512485136742,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.2,0.5,greedy_valid_gt_first_coco_crowd,10440,8339,1057,0,0.6896551724137931,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.25,0.25,greedy_valid_gt_first_coco_crowd,10431,6742,1066,0,0.7276595744680852,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.25,0.5,greedy_valid_gt_first_coco_crowd,10288,6885,1209,0,0.7176839902336938,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.3,0.25,greedy_valid_gt_first_coco_crowd,10220,5699,1277,0,0.7455500437700613,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.3,0.5,greedy_valid_gt_first_coco_crowd,10107,5812,1390,0,0.7373066822293551,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.35,0.25,greedy_valid_gt_first_coco_crowd,9965,4872,1532,0,0.7568162831320726,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.35,0.5,greedy_valid_gt_first_coco_crowd,9883,4954,1614,0,0.7505885926938558,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.4,0.25,greedy_valid_gt_first_coco_crowd,9696,4117,1801,0,0.766179375740814,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.4,0.5,greedy_valid_gt_first_coco_crowd,9627,4186,1870,0,0.7607269853812723,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.5,0.25,greedy_valid_gt_first_coco_crowd,9052,2998,2445,0,0.7688452881471101,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_off,0.5,0.5,greedy_valid_gt_first_coco_crowd,9021,3029,2476,0,0.7662122563383871,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_on,0.1,0.25,greedy_valid_gt_first_coco_crowd,10973,12003,524,1695,0.6366141618077916,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_on,0.1,0.5,greedy_valid_gt_first_coco_crowd,10768,12208,729,1695,0.6247207959852639,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_on,0.15,0.25,greedy_valid_gt_first_coco_crowd,10789,9170,708,1093,0.6859740590030519,548
visdrone,visdrone_control_asd1280,absolute,28.0,exclude_source_ignore_on,0.15,0.5,greedy_valid_gt_first_coco_crowd,10609,9348,888,1095,0.6745723914287531,548
