scale_mode,scale_threshold,small_object_policy,confidence,iou,candidate_a,candidate_b,f1_difference_a_minus_b
absolute,16.0,exclude_source_ignore_on,0.15,0.25,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.04773453255677684
absolute,16.0,exclude_source_ignore_on,0.15,0.25,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.104821329050937
absolute,16.0,exclude_source_ignore_on,0.15,0.25,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.036391590907854265
absolute,16.0,exclude_source_ignore_on,0.15,0.25,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.06842973814308273
absolute,16.0,exclude_source_ignore_on,0.15,0.5,visdrone_control_asd1280,visdrone_control_baseline1280,0.06176130798297508
absolute,16.0,exclude_source_ignore_on,0.15,0.5,visdrone_control_asd1280,visdrone_control_baseline640,0.07050992178940951
absolute,16.0,exclude_source_ignore_on,0.15,0.5,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.057520374659763784
absolute,16.0,exclude_source_ignore_on,0.15,0.5,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.004410666260750373
absolute,16.0,exclude_source_ignore_on,0.15,0.5,visdrone_control_baseline1280,visdrone_control_baseline640,0.008748613806434435
absolute,16.0,exclude_source_ignore_on,0.15,0.5,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.11928168264273886
absolute,16.0,exclude_source_ignore_on,0.15,0.5,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.057350641722224704
absolute,16.0,exclude_source_ignore_on,0.15,0.5,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.1280302964491733
absolute,16.0,exclude_source_ignore_on,0.15,0.5,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.06609925552865914
absolute,16.0,exclude_source_ignore_on,0.15,0.5,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.06193104092051416
